volume,strategy,datacenter,requests,percentage,heat_kwh,uhi
100,Random,Phoenix,45,45.0,0.02521884375,3.0262612499999998e-05
100,Random,San Francisco,40,40.0,0.019481250000000002,9.1318359375e-06
100,Random,Stockholm,15,15.0,0.005673690000000001,2.4058049469964668e-06
100,Energy-Only,Phoenix,25,25.0,0.01401046875,1.6812562499999996e-05
100,Energy-Only,San Francisco,30,30.0,0.0146109375,6.8488769531249995e-06
100,Energy-Only,Stockholm,45,45.0,0.017021070000000006,7.217414840989402e-06
100,UHI-Aware,Phoenix,21,21.0,0.011768793750000001,1.41225525e-05
100,UHI-Aware,San Francisco,35,35.0,0.01704609375,7.9903564453125e-06
100,UHI-Aware,Stockholm,44,44.0,0.016642824000000004,7.057027844522969e-06
100,Multi-Objective,Phoenix,27,27.0,0.01513130625,1.8157567499999998e-05
100,Multi-Objective,San Francisco,34,34.0,0.0165590625,7.762060546875e-06
100,Multi-Objective,Stockholm,39,39.0,0.014751594000000005,6.255092862190814e-06
1000,Random,Phoenix,173,17.299999999999997,0.09695244374999999,0.00011634293249999998
1000,Random,San Francisco,8,0.8,0.0038962500000000004,1.8263671875000002e-06
1000,Random,Stockholm,819,81.89999999999999,0.30978347400000006,0.0001313569501060071
1000,Energy-Only,Phoenix,251,25.1,0.14066510625,0.00016879812749999998
1000,Energy-Only,San Francisco,304,30.4,0.1480575,6.9401953125e-05
1000,Energy-Only,Stockholm,445,44.5,0.16831947000000003,7.137221342756185e-05
1000,UHI-Aware,Phoenix,219,21.9,0.12273170625,0.00014727804749999998
1000,UHI-Aware,San Francisco,354,35.4,0.1724090625,8.081674804687499e-05
1000,UHI-Aware,Stockholm,427,42.699999999999996,0.16151104200000002,6.848524749116608e-05
1000,Multi-Objective,Phoenix,279,27.900000000000002,0.15635683125,0.00018762819749999998
1000,Multi-Objective,San Francisco,347,34.699999999999996,0.16899984375,7.921867675781248e-05
1000,Multi-Objective,Stockholm,374,37.4,0.141464004,5.998473667844523e-05
10000,Random,Phoenix,7350,73.5,4.1190778125,0.004942893374999999
10000,Random,San Francisco,1160,11.600000000000001,0.5649562499999999,0.00026482324218749995
10000,Random,Stockholm,1490,14.899999999999999,0.5635865400000002,0.0002389766247349824
10000,Energy-Only,Phoenix,2519,25.19,1.4116948312500002,0.0016940337975
10000,Energy-Only,San Francisco,3047,30.470000000000002,1.4839842187499999,0.0006956176025390624
10000,Energy-Only,Stockholm,4434,44.34,1.6771427640000005,0.0007111559423321558
10000,UHI-Aware,Phoenix,2191,21.91,1.2278774812500002,0.0014734529775
10000,UHI-Aware,San Francisco,3549,35.49,1.72847390625,0.0008102221435546875
10000,UHI-Aware,Stockholm,4260,42.6,1.6113279600000003,0.0006832486049469966
10000,Multi-Objective,Phoenix,2792,27.92,1.5646891500000002,0.00187762698
10000,Multi-Objective,San Francisco,3476,34.760000000000005,1.6929206249999997,0.0007935565429687498
10000,Multi-Objective,Stockholm,3732,37.32,1.4116140720000003,0.000598564270812721
100000,Random,Phoenix,74457,74.457,41.72709886875,0.050072518642499994
100000,Random,San Francisco,6429,6.429,3.13112390625,0.0014677143310546875
100000,Random,Stockholm,19114,19.114,7.229794044000001,0.0030656370504593645
100000,Energy-Only,Phoenix,25195,25.195,14.119750406249999,0.016943700487499998
100000,Energy-Only,San Francisco,30473,30.473,14.841303281250001,0.006956860913085937
100000,Energy-Only,Stockholm,44332,44.332,16.768401672000003,0.007110276327349824
100000,UHI-Aware,Phoenix,21914,21.914,12.2810164875,0.014737219785
100000,UHI-Aware,San Francisco,35490,35.49,17.2847390625,0.008102221435546876
100000,UHI-Aware,Stockholm,42596,42.596000000000004,16.111766616000004,0.0068318445014841
100000,Multi-Objective,Phoenix,27929,27.929,15.65193526875,0.0187823223225
100000,Multi-Objective,San Francisco,34765,34.765,16.93164140625,0.007936706909179688
100000,Multi-Objective,Stockholm,37306,37.306,14.110845276000004,0.00598339729017668
